"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Aciclovir|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|ArterialBlood|Plasma|Aciclovir|Concentration in container [µmol/l]","Organism|ArterialBlood|Plasma|Aciclovir|Plasma Unbound [µmol/l]","Organism|ArterialBlood|BloodCells|Aciclovir|Concentration in container [µmol/l]","Organism|ArterialBlood|Aciclovir|Whole Blood [µmol/l]"
0,825,1.043422,0.9581605,0.8295202,0.580864,0.7808311
0,840,0.9775705,0.8965899,0.7762159,0.5435354,0.7306542
0,855,0.915977,0.8390559,0.7264063,0.5086542,0.6837671
0,870,0.8583607,0.7852893,0.6798582,0.4760573,0.6399502
0,885,0.80446,0.7350394,0.6363547,0.4455925,0.5989993
0,900,0.7540312,0.6880727,0.5956936,0.4171183,0.5607241
0,915,0.7068457,0.6441708,0.5576859,0.3905024,0.5249466
0,930,0.6626915,0.6031309,0.5221559,0.3656216,0.4915015
0,945,0.6213694,0.5647631,0.4889393,0.3423609,0.4602341
0,960,0.5826944,0.5288908,0.4578831,0.3206132,0.4310003
0,975,8.91943,7.283862,6.305948,4.413434,5.934761
0,990,5.153712,4.602336,3.984437,2.788384,3.749779
0,1005,4.170468,3.890609,3.368265,2.358407,3.170474
0,1020,3.772457,3.545799,3.069748,2.149904,2.889728
0,1035,3.50023,3.287779,2.84637,1.993567,2.679499
0,1050,3.266225,3.062103,2.650992,1.856701,2.495564
0,1065,3.052444,2.85624,2.472768,1.731825,2.327765
0,1080,2.854176,2.666147,2.308197,1.616519,2.172822
0,1095,2.669557,2.489844,2.155564,1.509587,2.029123
0,1110,2.497378,2.325959,2.013681,1.410195,1.89555
0,1125,2.336673,2.173402,1.881607,1.317681,1.771214
0,1140,2.186602,2.031255,1.758544,1.231485,1.655363
0,1155,2.046424,1.898722,1.643804,1.151122,1.54735
0,1170,1.915461,1.775093,1.536773,1.076161,1.446595
0,1185,1.79308,1.659726,1.436895,1.006212,1.352574
0,1200,1.678699,1.552036,1.343663,0.9409177,1.26481
0,1215,1.571783,1.451489,1.256615,0.8799559,1.182868
0,1230,1.471835,1.357596,1.175328,0.823029,1.106349
0,1245,1.378392,1.269904,1.09941,0.7698623,1.034884
0,1260,1.291021,1.187992,1.028495,0.7202002,0.9681297
0,1275,1.209318,1.11147,0.9622465,0.6738066,0.9057681
0,1290,1.13291,1.039977,0.9003521,0.6304621,0.847505
0,1305,1.061448,0.9731763,0.8425199,0.5899627,0.7930659
0,1320,0.9946049,0.9107543,0.7884786,0.5521181,0.7421952
0,1335,0.9320767,0.8524191,0.7379754,0.5167513,0.6946553
0,1350,0.8735796,0.7978986,0.6907746,0.4836975,0.6502241
0,1365,0.8188487,0.7469394,0.646657,0.4528028,0.6086952
0,1380,0.7676362,0.6993042,0.6054173,0.4239236,0.5698753
0,1395,0.7197127,0.654774,0.5668656,0.3969268,0.5335858
0,1410,0.6748623,0.6131426,0.5308235,0.3716876,0.4996588
0,1425,0.6328838,0.5742182,0.497125,0.3480895,0.4679377
0,1440,0.5935903,0.5378224,0.4656157,0.3260247,0.4382775
0,1455,0.5568058,0.5037879,0.4361506,0.3053913,0.4105415
0,1470,0.5223671,0.4719588,0.4085947,0.2860951,0.3846029
0,1485,0.4901212,0.4421899,0.3828226,0.268048,0.3603432
0,1500,0.4599253,0.4143453,0.3587162,0.2511675,0.3376517
0,1515,0.4316462,0.3882983,0.3361663,0.2353769,0.3164252
0,1530,0.4051596,0.3639309,0.3150705,0.2206046,0.2965675
0,1545,0.3803488,0.3411326,0.2953329,0.2067835,0.2779885
0,1560,0.3571057,0.3198005,0.2768649,0.1938514,0.2606044
0,1575,0.3353288,0.2998386,0.259583,0.18175,0.244337
0,1590,0.314923,0.2811569,0.2434094,0.1704247,0.2291128
0,1605,0.2958002,0.2636718,0.2282719,0.1598249,0.2148638
0,1620,0.2778777,0.2473051,0.2141026,0.1499032,0.2015262
0,1635,0.2610778,0.2319836,0.2008381,0.1406151,0.1890404
0,1650,0.2453288,0.2176394,0.1884196,0.1319194,0.177351
0,1665,0.2305629,0.2042086,0.176792,0.1237776,0.166406
0,1680,0.2167172,0.1916317,0.1659037,0.1161534,0.1561569
0,1695,0.2037329,0.1798534,0.1557067,0.1090134,0.1465586
0,1710,0.1915547,0.1688217,0.1461561,0.1023261,0.1375687
0,1725,0.1801312,0.1584881,0.1372099,0.09606192,0.1291478
0,1740,0.1694144,0.1488076,0.1288291,0.09019369,0.1212591
0,1755,0.1593591,0.1397378,0.1209769,0.08469566,0.113868
0,1770,0.1499234,0.1312392,0.1136193,0.07954394,0.1069424
0,1785,0.141068,0.123275,0.1067244,0.0747162,0.1004523
0,1800,0.1327561,0.1158106,0.1002622,0.07019148,0.09436962
0,1815,0.1249532,0.108814,0.0942049,0.06595033,0.08866809
0,1830,0.1176273,0.1022551,0.08852656,0.06197452,0.08332322
0,1845,0.1107482,0.09610564,0.08320273,0.05824694,0.07831205
0,1860,0.1042879,0.09033953,0.07821076,0.05475174,0.07361327
0,1875,0.09821992,0.08493216,0.07352938,0.05147402,0.06920684
0,1890,0.0925196,0.07986043,0.06913856,0.04839977,0.06507391
0,1905,0.08716402,0.07510304,0.06501988,0.04551608,0.06119717
0,1920,0.08213157,0.07063991,0.06115596,0.04281077,0.05756021
0,1935,0.07740205,0.06645226,0.05753054,0.04027246,0.05414775
0,1950,0.07295685,0.06252285,0.05412868,0.0378907,0.05094574
0,1965,0.06877807,0.05883506,0.05093601,0.0356554,0.04794062
0,1980,0.06484938,0.0553738,0.04793945,0.03355742,0.0451201
0,1995,0.06115523,0.05212465,0.04512652,0.03158803,0.04247244
0,2010,0.05768108,0.04907419,0.04248561,0.02973908,0.03998669
0,2025,0.05441333,0.04620989,0.04000586,0.02800298,0.03765264
0,2040,0.05133926,0.04351998,0.03767709,0.02637259,0.03546071
0,2055,0.04844685,0.04099342,0.03548974,0.02484122,0.03340189
0,2070,0.04572502,0.03862002,0.03343499,0.02340269,0.03146788
0,2085,0.04316327,0.03639013,0.03150448,0.02205116,0.02965081
0,2100,0.04075185,0.0342948,0.02969046,0.02078118,0.0279434
0,2115,0.0384816,0.03232563,0.02798567,0.01958769,0.0263388
0,2130,0.03634394,0.03047478,0.02638331,0.01846591,0.02483061
0,2145,0.03433082,0.0287349,0.02487702,0.0174114,0.02341285
0,2160,0.03243474,0.02709912,0.02346085,0.01641999,0.02207993
0,2175,0.03064869,0.02556107,0.0221293,0.01548783,0.02082665
0,2190,0.028966,0.02411467,0.02087709,0.01461121,0.01964805
0,2205,0.02738035,0.02275418,0.01969926,0.01378666,0.01853945
0,2220,0.02588584,0.02147422,0.01859115,0.01301094,0.01749648
0,2235,0.02447714,0.02026997,0.01754857,0.0122811,0.0165152
0,2250,0.02314898,0.01913666,0.01656742,0.01159425,0.01559173
0,2265,0.02189659,0.01806998,0.01564394,0.0109478,0.01472255
0,2280,0.02071548,0.01706586,0.01477464,0.01033926,0.01390436
0,2295,0.01960146,0.01612054,0.01395623,0.009766364,0.01313408
0,2310,0.01855053,0.0152304,0.0131856,0.009226916,0.01240876
0,2325,0.017559,0.01439215,0.01245989,0.008718912,0.01172573
0,2340,0.01662338,0.01360263,0.01177638,0.008240453,0.01108241
0,2355,0.01574038,0.01285891,0.0111325,0.007789746,0.0104764
0,2370,0.01490688,0.0121582,0.01052587,0.007365106,0.009905444
