"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Aciclovir|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|ArterialBlood|Plasma|Aciclovir|Concentration in container [µmol/l]","Organism|ArterialBlood|Plasma|Aciclovir|Plasma Unbound [µmol/l]","Organism|ArterialBlood|BloodCells|Aciclovir|Concentration in container [µmol/l]","Organism|ArterialBlood|Aciclovir|Whole Blood [µmol/l]"
0,855,2.860351,2.74979,2.38061,1.645706,2.23087
0,870,2.763154,2.655035,2.298576,1.588994,2.153995
0,885,2.669346,2.563647,2.219458,1.534298,2.079853
0,900,2.578806,2.475504,2.143148,1.481543,2.008342
0,915,2.491414,2.390483,2.069543,1.430659,1.939366
0,930,2.40706,2.308472,1.998542,1.381575,1.872831
0,945,2.325631,2.229359,1.93005,1.334225,1.808646
0,960,2.247026,2.153037,1.863976,1.288547,1.746727
0,975,11.8626,10.11301,8.75526,6.057291,8.206821
0,990,7.983333,7.413862,6.418495,4.436413,6.014461
0,1005,6.924236,6.674849,5.7787,3.994639,5.415151
0,1020,6.514456,6.328955,5.479245,3.788028,5.134719
0,1035,6.249848,6.075683,5.259976,3.636534,4.929283
0,1050,6.023419,5.851073,5.065522,3.502074,4.747044
0,1065,5.812043,5.640373,4.88311,3.375912,4.576076
0,1080,5.609995,5.439434,4.709149,3.255599,4.413032
0,1095,5.415862,5.246894,4.542459,3.140324,4.256806
0,1110,5.228917,5.061963,4.382356,3.029613,4.106759
0,1125,5.048792,4.884146,4.228413,2.923168,3.962487
0,1140,4.875116,4.713012,4.080255,2.820729,3.823639
0,1155,4.70765,4.548244,3.937607,2.722103,3.689958
0,1170,4.546166,4.389556,3.800225,2.62712,3.561211
0,1185,4.390416,4.236676,3.66787,2.535615,3.437177
0,1200,4.240162,4.089347,3.540321,2.447434,3.317648
0,1215,4.095196,3.947343,3.417382,2.362441,3.202439
0,1230,3.955335,3.810461,3.298877,2.280514,3.091386
0,1245,3.8204,3.678505,3.184638,2.201536,2.98433
0,1260,3.690206,3.551285,3.074497,2.125393,2.881115
0,1275,3.564569,3.428614,2.968297,2.051973,2.781593
0,1290,3.443324,3.310322,2.865886,1.981174,2.685622
0,1305,3.326316,3.196245,2.767125,1.912898,2.593072
0,1320,3.213388,3.086225,2.671876,1.847051,2.503814
0,1335,3.104397,2.980114,2.580011,1.783543,2.417725
0,1350,2.999197,2.877764,2.491402,1.722286,2.334689
0,1365,2.897653,2.779037,2.40593,1.663197,2.254592
0,1380,2.799632,2.683799,2.323478,1.606198,2.177326
0,1395,2.705008,2.591922,2.243936,1.551209,2.102787
0,1410,2.613659,2.503281,2.167197,1.498158,2.030873
0,1425,2.525468,2.41776,2.093157,1.446973,1.96149
0,1440,2.440323,2.335243,2.021719,1.397588,1.894545
0,1455,2.358114,2.255621,1.952787,1.349934,1.829948
0,1470,2.278739,2.17879,1.886271,1.303951,1.767616
0,1485,2.202095,2.104647,1.822082,1.259577,1.707464
0,1500,2.128086,2.033095,1.760137,1.216754,1.649415
0,1515,2.056619,1.964042,1.700354,1.175426,1.593392
0,1530,1.987604,1.897395,1.642655,1.135538,1.539322
0,1545,1.920955,1.833069,1.586965,1.09704,1.487135
0,1560,1.856587,1.770979,1.533212,1.05988,1.436763
0,1575,1.794421,1.711046,1.481325,1.02401,1.388139
0,1590,1.734379,1.653192,1.431239,0.9893854,1.341203
0,1605,1.676386,1.597342,1.382887,0.9559598,1.295892
0,1620,1.620371,1.543425,1.336209,0.9236912,1.25215
0,1635,1.566264,1.491372,1.291144,0.8925377,1.20992
0,1650,1.513998,1.441115,1.247634,0.8624598,1.169147
0,1665,1.46351,1.392591,1.205625,0.8334192,1.12978
0,1680,1.414735,1.345738,1.165062,0.8053782,1.091769
